date,store_id,store_name,sku_id,product_name,buying_price,selling_price,units_sold,revenue,margin
2026-01-31,2510,良乡时光汇店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9558,24.9,1.0,21.6018,5.646
2026-01-31,2510,良乡时光汇店,772766,和路雪迷你梦龙170g松露+卡布基诺味冰淇淋,18.6018,19.9,1.0,17.6106,-0.9912
2026-01-31,2510,良乡时光汇店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,7.0,71.885,5.2079
2026-01-31,2510,良乡时光汇店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,2.0,52.8938,-9.938
2026-01-31,2510,良乡时光汇店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,2.0,52.3983,-11.3185
2026-01-31,2510,良乡时光汇店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,1.0,13.1858,0.8672
2026-01-31,2352,丰台新业广场店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,1.0,22.0354,7.6991
2026-01-31,2352,丰台新业广场店,446145,伊利65G*6妙趣小雪生雪糕,9.5254,11.8,1.0,10.4425,0.9171
2026-01-31,2352,丰台新业广场店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,2.0,25.7256,1.0884
2026-01-31,2246,朗清园店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,3.0,65.2743,22.2655
2026-01-31,2246,朗清园店,784810,伊利70g*5苦咖啡雪糕,7.6342,14.9,9.0,118.6723,49.9641
2026-01-31,2246,朗清园店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,4.0,41.77,3.6688
2026-01-31,2246,朗清园店,341383,八喜60G*6六合一牛奶冰淇淋,31.416,29.9,8.0,211.6816,-39.646
2026-01-31,2246,朗清园店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,5.0,130.3098,-28.9823
2026-01-31,2246,朗清园店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,6.0,79.1148,5.2032
2026-01-31,1628,丽泽桥店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,1.0,19.8496,5.5133
2026-01-31,1628,丽泽桥店,784810,伊利70g*5苦咖啡雪糕,7.6428,14.9,2.0,25.0619,9.7763
2026-01-31,1628,丽泽桥店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,5.0,52.2125,4.586
2026-01-31,1628,丽泽桥店,341383,八喜60G*6六合一牛奶冰淇淋,31.416,29.9,2.0,52.9204,-9.9115
2026-01-31,1628,丽泽桥店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,3.0,77.9204,-17.6549
2026-01-31,1565,中信城店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9557,24.9,1.0,22.0354,6.0797
2026-01-31,1565,中信城店,784810,伊利70g*5苦咖啡雪糕,7.6263,14.9,2.0,26.3716,11.119
2026-01-31,1565,中信城店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,1.0,26.4602,-4.9557
2026-01-31,1509,南海家园店,973507,北冰洋90g*5鸳鸯双棒雪糕,9.8407,11.5,4.0,39.7345,0.3717
2026-01-31,1509,南海家园店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,2.0,41.5221,12.8495
2026-01-31,1509,南海家园店,784810,伊利70g*5苦咖啡雪糕,7.6066,14.9,2.0,25.5929,10.3797
2026-01-31,1509,南海家园店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,15.0,154.9029,12.0234
2026-01-31,1509,南海家园店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,7.0,177.7966,-42.115
2026-01-31,1509,南海家园店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,3.0,39.5574,2.6016
2026-01-31,1332,和平新城店,973507,北冰洋90g*5鸳鸯双棒雪糕,9.8407,11.5,4.0,40.708,1.3452
2026-01-31,1332,和平新城店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9558,24.9,1.0,22.0354,6.0796
2026-01-31,1332,和平新城店,784810,伊利70g*5苦咖啡雪糕,7.5783,14.9,4.0,52.7433,22.43
2026-01-31,1332,和平新城店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,3.0,29.9381,1.3622
2026-01-31,1332,和平新城店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,6.0,158.7612,-29.7345
2026-01-31,1332,和平新城店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,4.0,105.8408,-21.5928
2026-01-31,1332,和平新城店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,6.0,78.9821,5.0705
2026-01-31,1301,西山枫林店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,1.0,22.0354,7.6991
2026-01-31,1301,西山枫林店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9557,24.9,2.0,44.0708,12.1593
2026-01-31,1301,西山枫林店,784810,伊利70g*5苦咖啡雪糕,7.5009,14.9,2.0,26.3716,11.3698
2026-01-31,1301,西山枫林店,446145,伊利65G*6妙趣小雪生雪糕,9.5264,11.8,3.0,30.0531,1.474
2026-01-31,1301,西山枫林店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,2.0,52.9204,-9.9114
2026-01-30,2510,良乡时光汇店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3362,24.9,2.0,42.9646,14.2921
2026-01-30,2510,良乡时光汇店,784810,伊利70g*5苦咖啡雪糕,7.6242,14.9,2.0,26.3716,11.1231
2026-01-30,2510,良乡时光汇店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,11.0,114.8674,10.0891
2026-01-30,2510,良乡时光汇店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,6.0,152.6637,-35.8319
2026-01-30,2510,良乡时光汇店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,2.0,51.5752,-12.1416
2026-01-30,2510,良乡时光汇店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,4.0,52.7432,3.4688
2026-01-30,2352,丰台新业广场店,446145,伊利65G*6妙趣小雪生雪糕,9.5254,11.8,3.0,31.3275,2.7512
2026-01-30,2352,丰台新业广场店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,2.0,26.3716,1.7344
2026-01-30,2246,朗清园店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3362,24.9,5.0,110.177,38.4958
2026-01-30,2246,朗清园店,784810,伊利70g*5苦咖啡雪糕,7.6343,14.9,7.0,91.0086,37.5686
2026-01-30,2246,朗清园店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,9.0,92.6727,6.945
2026-01-30,2246,朗清园店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,2.0,42.3009,-21.4159
2026-01-30,2246,朗清园店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,4.0,52.7433,3.4689
2026-01-30,1628,丽泽桥店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,1.0,22.0354,7.6991
2026-01-30,1628,丽泽桥店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,2.0,20.885,1.8344
2026-01-30,1628,丽泽桥店,341383,八喜60G*6六合一牛奶冰淇淋,31.416,29.9,4.0,105.8408,-19.823
2026-01-30,1628,丽泽桥店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,1.0,26.4602,-5.3982
2026-01-30,1628,丽泽桥店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,3.0,39.5574,2.6016
2026-01-30,1565,中信城店,876525,和路雪梦龙256g香草味冰淇淋,28.3362,29.8,1.0,26.3717,-1.9645
2026-01-30,1565,中信城店,143522,八喜550g巧克力冰淇淋,31.8585,29.9,2.0,52.9204,-10.7965
2026-01-30,1509,南海家园店,816724,物美精选62gx10牛奶棒（鲜牛乳味）,14.3363,24.9,3.0,66.1062,23.0973
2026-01-30,1509,南海家园店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9558,24.9,1.0,18.9115,2.9557
2026-01-30,1509,南海家园店,784810,伊利70g*5苦咖啡雪糕,7.6066,14.9,1.0,13.1858,5.5792
2026-01-30,1509,南海家园店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,4.0,41.77,3.6688
2026-01-30,1509,南海家园店,341383,八喜60G*6六合一牛奶冰淇淋,31.4159,29.9,5.0,126.1063,-30.9733
2026-01-30,1509,南海家园店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,2.0,50.0885,-13.6283
2026-01-30,1509,南海家园店,140546,蒙牛随变75G*5香草味冰淇淋,12.3186,14.9,2.0,26.3716,1.7344
2026-01-30,1332,和平新城店,973507,北冰洋90g*5鸳鸯双棒雪糕,9.8407,11.5,1.0,10.177,0.3363
2026-01-30,1332,和平新城店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9557,24.9,1.0,20.7168,4.7611
2026-01-30,1332,和平新城店,784810,伊利70g*5苦咖啡雪糕,7.63,14.9,2.0,25.584,10.3241
2026-01-30,1332,和平新城店,446145,伊利65G*6妙趣小雪生雪糕,9.5253,11.8,4.0,40.9381,2.8369
2026-01-30,1332,和平新城店,143522,八喜550g巧克力冰淇淋,31.8584,29.9,2.0,52.9204,-10.7964
2026-01-30,1301,西山枫林店,816723,物美精选62gx10生巧雪糕（巧克力味雪糕）,15.9558,24.9,2.0,42.4513,10.5398
2026-01-30,1301,西山枫林店,784810,伊利70g*5苦咖啡雪糕,7.5009,14.9,1.0,13.1858,5.6849
2026-01-30,1301,西山枫林店,446145,伊利65G*6妙趣小雪生雪糕,9.527,11.8,4.0,35.9824,-2.1256
2026-01-30,1301,西山枫林店,140546,蒙牛随变75G*5香草味冰淇淋,12.3298,14.9,1.0,13.1858,0.856
