date,store_id,store_name,sku_id,product_name,buying_price,selling_price,units_sold
2025-09-01,S001,Liangxiang Store,SKU001,Product A,7.50,14.90,12
2025-09-01,S002,Fengtai New Plaza,SKU001,Product A,7.50,14.90,9
2025-09-08,S001,Liangxiang Store,SKU001,Product A,7.50,13.41,14
2025-09-08,S002,Fengtai New Plaza,SKU001,Product A,7.50,13.41,11
2025-09-15,S001,Liangxiang Store,SKU001,Product A,7.50,11.92,18
2025-09-15,S002,Fengtai New Plaza,SKU001,Product A,7.50,11.92,15
2025-09-01,S001,Liangxiang Store,SKU002,Product B,5.20,9.90,20
2025-09-01,S002,Fengtai New Plaza,SKU002,Product B,5.20,9.90,17
2025-09-08,S001,Liangxiang Store,SKU002,Product B,5.20,9.90,22
2025-09-08,S002,Fengtai New Plaza,SKU002,Product B,5.20,8.91,25
